I, [2018-03-20T17:07:54.175532 #29185]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2018-03-20T17:07:54.176491 #29185] ERROR -- Kitchen: ------Exception-------
E, [2018-03-20T17:07:54.176533 #29185] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-03-20T17:07:54.176551 #29185] ERROR -- Kitchen: Message: Kitchen YAML file /home/vagrant/cookbooks/.kitchen.yml does not exist.
E, [2018-03-20T17:07:54.176565 #29185] ERROR -- Kitchen: ----------------------
E, [2018-03-20T17:07:54.176579 #29185] ERROR -- Kitchen: ------Backtrace-------
E, [2018-03-20T17:07:54.176590 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-03-20T17:07:54.176604 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:152:in `data'
E, [2018-03-20T17:07:54.176618 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-03-20T17:07:54.176630 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-03-20T17:07:54.176644 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-03-20T17:07:54.176657 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-03-20T17:07:54.176669 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-03-20T17:07:54.176682 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-03-20T17:07:54.176694 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-03-20T17:07:54.176707 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-03-20T17:07:54.176720 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:34:in `call'
E, [2018-03-20T17:07:54.176733 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:52:in `perform'
E, [2018-03-20T17:07:54.176744 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-03-20T17:07:54.176756 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-03-20T17:07:54.176768 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-03-20T17:07:54.176780 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-03-20T17:07:54.176792 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-03-20T17:07:54.176804 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-03-20T17:07:54.176815 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-03-20T17:07:54.176826 #29185] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `<top (required)>'
E, [2018-03-20T17:07:54.176838 #29185] ERROR -- Kitchen: /usr/bin/kitchen:250:in `load'
E, [2018-03-20T17:07:54.176851 #29185] ERROR -- Kitchen: /usr/bin/kitchen:250:in `<main>'
E, [2018-03-20T17:07:54.176863 #29185] ERROR -- Kitchen: ----End Backtrace-----
